PT_NAME_FR,SOC_NAME_FR,id_effet_secondaire
Dysmorphie,"Affections congenitales, familiales et genetiques",1
Ventricule cerebral dilate,Affections du systeme nerveux,2
Dysplasie septo-optique,"Affections congenitales, familiales et genetiques",3
Holoprosencephalie,"Affections congenitales, familiales et genetiques",4
Enterite,Affections gastro-intestinales,5
Hypoplasie dentaire,"Affections congenitales, familiales et genetiques",6
Anomalies congenitales multiples,"Affections congenitales, familiales et genetiques",7
Communication interventriculaire,"Affections congenitales, familiales et genetiques",8
Communication interauriculaire,"Affections congenitales, familiales et genetiques",9
Hydronephrose,Affections du rein et des voies urinaires,10
Hernie congenitale,"Affections congenitales, familiales et genetiques",11
Anomalie congenitale de l'ongle,"Affections congenitales, familiales et genetiques",12
Malformation de l'oreille,"Affections congenitales, familiales et genetiques",13
alectroencephalogramme anormal,Investigations,14
Bebe de faible poids a  la naissance,"Affections gravidiques, puerperales et perinatales",15
Nouveau-ne premature,"Affections gravidiques, puerperales et perinatales",16
Anemie,Affections hematologiques et du systeme lymphatique,17
Presentation du siege,"Affections gravidiques, puerperales et perinatales",18
Nouveau-ne petit pour l'a¢ge gestationnel,"Affections gravidiques, puerperales et perinatales",19
Malformation arterielle congenitale,"Affections congenitales, familiales et genetiques",20
Microcephalie,"Affections congenitales, familiales et genetiques",21
Persistance du canal arteriel,"Affections congenitales, familiales et genetiques",22
Anomalie congenitale,"Affections congenitales, familiales et genetiques",23
Atresie anale,"Affections congenitales, familiales et genetiques",24
Fibrillation auriculaire,Affections cardiaques,25
Embolie,Affections vasculaires,26
Cecite transitoire,Affections oculaires,27
Embolie arterielle retinienne,Affections oculaires,28
Trouble retinien,Affections oculaires,29
Hypotension,Affections vasculaires,30
Hypertonie,Affections du systeme nerveux,31
Syndrome de sevrage de drogue ou de medicament,Troubles generaux et anomalies au site d'administration,32
Irritabilite,Affections psychiatriques,33
Sensation de nervosite,Troubles generaux et anomalies au site d'administration,34
Appendicite,Infections et infestations,35
Grabataire,Caracteristiques socio-environnementales,36
Pancreatite aigue,Affections gastro-intestinales,37
Pancreatite hemorragique,Affections gastro-intestinales,38
Surdosage accidentel,"Lesions, intoxications et complications d'interventions",39
Bradycardie,Affections cardiaques,40
Anurie,Affections du rein et des voies urinaires,41
Convulsion,Affections du systeme nerveux,42
Diminution du niveau de conscience,Affections du systeme nerveux,43
Neuropathie peripherique,Affections du systeme nerveux,44
Reflexe cutane plantaire en extension,Affections du systeme nerveux,45
Stupeur,Affections du systeme nerveux,46
Defauts visuels,Affections oculaires,47
Tachycardie sinusale,Affections cardiaques,48
acholalie,Affections psychiatriques,49
Coordination anormale,Affections du systeme nerveux,50
Hypertension,Affections vasculaires,51
Interaction medicamenteuse,Troubles generaux et anomalies au site d'administration,52
Tachycardie supraventriculaire,Affections cardiaques,53
Intervalle QT prolonge a  l'electrocardiogramme,Investigations,54
Occlusion intestinale,Affections gastro-intestinales,55
Cancer ovarien,"Tumeurs benignes, malignes et non precisees (incl kystes et polypes)",56
Progression de la maladie,Troubles generaux et anomalies au site d'administration,57
Reaction de sensibilite croisee,Affections du systeme immunitaire,58
Rash maculopapuleux,Affections de la peau et du tissu sous-cutane,59
Infarctus du myocarde,Affections cardiaques,60
Pustulose exanthematique aigue generalisee,Affections de la peau et du tissu sous-cutane,61
Nausee,Affections gastro-intestinales,62
Inefficacite medicamenteuse,Troubles generaux et anomalies au site d'administration,63
Grossesse non programmee,"Affections gravidiques, puerperales et perinatales",64
Detresse emotionnelle,Affections psychiatriques,65
Poids augmente,Investigations,66
Mononucleose infectieuse,Infections et infestations,67
Vomissement,Affections gastro-intestinales,68
Fatigue,Troubles generaux et anomalies au site d'administration,69
Appetit diminue,Troubles du metabolisme et de la nutrition,70
Myalgie,Affections musculosquelettiques et du tissu conjonctif,71
Contractures musculaires,Affections musculosquelettiques et du tissu conjonctif,72
Oedeme generalise,Troubles generaux et anomalies au site d'administration,73
Oligurie,Affections du rein et des voies urinaires,74
Creatinine sanguine augmentee,Investigations,75
Syndrome hemolytique et uremique,Affections hematologiques et du systeme lymphatique,76
Trouble des plaquettes,Affections hematologiques et du systeme lymphatique,77
Lactate deshydrogenase sanguine augmentee,Investigations,78
Alanine aminotransferase anormale,Investigations,79
Hematies anormales,Affections hematologiques et du systeme lymphatique,80
Creatine phosphokinase sanguine augmentee,Investigations,81
Hemoglobine diminuee,Investigations,82
Aplasie isolee de la lignee rouge,Affections hematologiques et du systeme lymphatique,83
Reponse therapeutique diminuee,Troubles generaux et anomalies au site d'administration,84
Anticorps antierythropoietine positif,Investigations,85
Infection des voies urinaires a  enterocoques,Infections et infestations,86
Ischemie peripherique,Affections vasculaires,87
Thrombose de fistule arterioveineuse,"Lesions, intoxications et complications d'interventions",88
Pontage de l'artere coronaire,Actes medicaux et chirurgicaux,89
Absence d'anticorps specifique a  un medicament,Investigations,90
Angine de poitrine,Affections cardiaques,91
Frequence respiratoire augmentee,Investigations,92
Rigidite musculaire,Affections musculosquelettiques et du tissu conjonctif,93
Tremblement,Affections du systeme nerveux,94
